Customer,Name,Path,Purpose,IsPython,Frequency,DayOfWeek,DayOfMonth,Enabled,Arguments
ServIT,Invoke-CoordinatorReports,project-management\01-coordinator\Invoke-CoordinatorReports.ps1,Project Management,FALSE,Weekdays,,,TRUE,
ServIT,Invoke-CoordinatorReports,security\01-coordinator\Invoke-CoordinatorReports.ps1,Security,FALSE,Weekly,Friday,,TRUE,
ServIT,Invoke-CoordinatorReports,service-delivery\01-coordinator\Invoke-CoordinatorReports.ps1,Service Delivery,FALSE,Weekdays,,,TRUE,
ServIT,Remove-OldLogs,scripts\Remove-OldLogs.ps1,Maintenance,FALSE,Monthly,,Last,TRUE,
Katz,Invoke-GroupAudit-Admins,program-management\ait-m365\katz\Invoke-GroupAudit-Admins.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-GroupAudit-Temp,program-management\ait-m365\katz\Invoke-GroupAudit-Temp.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-GroupMemberAudit-CA,program-management\ait-m365\katz\Invoke-GroupMemberAudit-CA.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-LicenseAudit-Detail,program-management\ait-m365\katz\Invoke-LicenseAudit-Detail.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-LicenseAudit-Summary,program-management\ait-m365\katz\Invoke-LicenseAudit-Summary.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-LogAudit-UserActivities,program-management\ait-m365\katz\Invoke-LogAudit-UserActivities.ps1,M365 Assessment,FALSE,Daily,,,FALSE,
Katz,Invoke-LogAudit-UserSignIns,program-management\ait-m365\katz\Invoke-LogAudit-UserSignIns.ps1,M365 Assessment,FALSE,Daily,,,FALSE,
Katz,Invoke-MailboxAudit-LicensedShared,program-management\ait-m365\katz\Invoke-MailboxAudit-LicensedShared.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-MailboxAudit-Size,program-management\ait-m365\katz\Invoke-MailboxAudit-Size.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-PolicyAudit-CA,program-management\ait-m365\katz\Invoke-PolicyAudit-CA.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-PolicyAudit-Locations,program-management\ait-m365\katz\Invoke-PolicyAudit-Locations.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-SiteAuditOneDrive-Activity,program-management\ait-m365\katz\Invoke-SiteAuditOneDrive-Activity.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-SiteAuditSharepoint-Activity,program-management\ait-m365\katz\Invoke-SiteAuditSharepoint-Activity.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-SiteAuditSharepoint-Disable,program-management\ait-m365\katz\Invoke-SiteAuditSharepoint-Disable.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-SiteAuditTeams-Activity,program-management\ait-m365\katz\Invoke-SiteAuditTeams-Activity.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-SiteAuditTeams-Disable,program-management\ait-m365\katz\Invoke-SiteAuditTeams-Disable.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-UserAccessAudit-Disable,program-management\ait-m365\katz\Invoke-UserAccessAudit-Disable.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-UserAudit-Hr,program-management\ait-m365\katz\Invoke-UserAudit-Hr.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-UserAudit-LicensedDisabled,program-management\ait-m365\katz\Invoke-UserAudit-LicensedDisabled.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
Katz,Invoke-UserAudit-Temp,program-management\ait-m365\katz\Invoke-UserAudit-Temp.ps1,M365 Assessment,FALSE,Daily,,,TRUE,
