CustomerName,Directory,SharepointFolder,FromAddress
Ameriserve,ameriserve,Ameriserve,
Asphalt Enterprises,asphalt,Asphalt,Asphalt Virtual Administrator <noreply@alerts.servit.net>
Brindlee Fire Services,brindlee,Brindlee Fire,
Bercher Homes,bercher,Bercher Homes,
Beulah,beulah,Beulah,
Boxercraft,boxercraft,Boxercraft,
CCM,ccm,CCM,
Diverzify,diverzify,Diverzify,
Division 9,division9,Division 9,
DSCPA,dscpa,DSCPA,
Elite Admin,eliteadmin,Elite Admin,
General Wholesale Company,gwc,GWC,
Geosurvey,geosurvey,Geosurvey,
Grey Eagle,greyeagle,Grey Eagle,
Grissom,grissom,Grissom,
HEFCO,hefco,HEFCO,
InReach,inreach,InReach,
Katz,katz,Katz,Katz Virtual Administrator <noreply@alerts.servit.net>
Nitterhouse,nitterhouse,Nitterhouse,
Patriot Select,patriot,Patriot Select,
RTCO,rtco,RTCO,
Searchlogix,searchlogix,Searchlogix,
Tapestry,tapestry,Tapestry,
Thomas and Brown,thomasandbrown,Thomas and Brown,
WSR,wsr,WSR,
