"DisplayName","CreatedDate","IsTrusted","Locations"
"Approved Countries/Regions","2024-02-02T14:11:04.7708102Z","N/A","CA,ZW,ZM,YE,WF,VI,VG,VN,VE,VU,UZ,UM,UY,GB,AE,UA,UG,TV,TC,TM,TR,TN,TT,TO,TK,TG,TL,TH,TZ,TJ,TW,SY,CH,SE,SZ,SJ,SR,SD,LK,ES,SS,GS,ZA,SO,SB,SI,SK,SX,SG,SL,SC,RS,SN,SA,ST,SM,WS,VC,PM,MF,LC,KN,SH,BL,RW,RU,RO,RE,CG,QA,PR,PT,PL,PN,PH,PE,PY,PG,PA,PS,PW,PK,OM,NO,MP,MK,KP,NF,NU,NG,NE,NI,NZ,NC,NL,NP,NR,NA,MM,MZ,MA,MS,ME,MN,MC,MD,FM,MX,YT,MU,MR,MQ,MH,MT,ML,MV,MY,MW,MG,MO,LU,LT,LI,LY,LR,LS,LB,LV,LA,KG,KW,XK,KR,KI,KE,KZ,JO,JE,JP,JM,IT,IL,IM,IE,IQ,IR,ID,IN,IS,HU,HK,HN,VA,HM,HT,GY,GW,GN,GG,GT,GU,GP,GD,GL,GR,GI,GH,DE,GE,GM,GA,TF,PF,GF,FR,FI,FJ,FO,FK,ET,EE,ER,GQ,SV,EH,EG,EC,DO,DM,DJ,DK,CD,CZ,CY,CW,CU,HR,CI,CR,CK,KM,CO,CC,CX,CN,CL,TD,CF,KY,CM,KH,CV,BI,BF,BG,BN,IO,BR,BV,BW,BA,BQ,BO,BT,BM,BJ,BZ,BE,BY,BB,BD,BH,BS,AZ,AT,AU,AW,AM,AR,AG,AQ,AI,AO,AD,AS,DZ,AL,AX,AF"
"Bit-Wizards","","True","66.210.217.126/32,142.190.50.30/32"
"Block Countries Per User Per Period","2023-08-25T15:50:01.4551815Z","N/A","KR,SG,ZW,ZM,YE,WF,VI,VG,VN,VE,VU,UZ,UM,UY,US,GB,AE,UA,UG,TV,TC,TM,TR,TN,TT,TO,TK,TG,TL,TH,TZ,TJ,TW,SY,CH,SE,SZ,SJ,SR,SD,LK,ES,SS,GS,ZA,SO,SB,SI,SK,SX,SL,SC,RS,SN,SA,ST,SM,WS,VC,PM,MF,LC,KN,SH,BL,RW,RU,RO,RE,CG,QA,PR,PT,PL,PN,PH,PE,PY,PG,PA,PS,PW,PK,OM,NO,MP,MK,KP,NF,NU,NG,NE,NI,NZ,NC,NL,NP,NR,NA,MM,MZ,MA,MS,ME,MN,MC,MD,FM,MX,YT,MU,MR,MQ,MH,MT,ML,MV,MY,MW,MG,MO,LU,LT,LI,LY,LR,LS,LB,LV,LA,KG,KW,XK,KI,KE,KZ,JO,JE,JP,JM,IT,IL,IM,IE,IQ,IR,ID,IN,IS,HU,HK,HN,VA,HM,HT,GY,GW,GN,GG,GT,GU,GP,GD,GL,GR,GI,GH,DE,GE,GM,GA,TF,PF,GF,FR,FI,FJ,FO,FK,ET,EE,ER,GQ,SV,EH,EG,EC,DO,DM,DJ,DK,CD,CZ,CY,CW,CU,HR,CI,CR,CK,KM,CO,CC,CX,CN,CL,TD,CF,KY,CA,CM,KH,CV,BI,BF,BG,BN,IO,BR,BV,BW,BA,BQ,BO,BT,BM,BJ,BZ,BE,BY,BB,BD,BH,BS,AZ,AT,AU,AW,AM,AR,AG,AQ,AI,AO,AD,AS,DZ,AL,AX,AF"
"Blocked Countries","2026-08-13T20:02:58.6042252Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BA,BW,BV,BR,IO,BN,BG,BF,BI,KH,CM,CA,CV,KY,CF,TD,CL,CN,CX,CC,CO,KM,CG,CD,CK,CR,CI,HR,CU,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GG,GH,GI,GR,GL,GD,GP,GU,GT,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IM,IN,ID,IR,IQ,IE,IL,IT,JE,JM,JP,JO,KZ,KE,KI,KP,KR,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MK,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PL,PT,PR,QA,RE,RO,RU,RW,SH,KN,LC,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,GS,ES,LK,SD,SR,SJ,SZ,SE,CH,SY,TW,TJ,TZ,TH,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UM,UY,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW,BQ,CW,PN,BL,MF,SX,SS,TL,XK"
"Brian Katz - Costa Rica","2026-07-13T12:10:42.2784673Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,CV,KH,CM,CA,KY,CF,TD,CL,CN,CX,CC,CO,KM,CK,CI,HR,CU,CW,CY,CZ,CD,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KR,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,KP,MK,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,CG,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,SS,ES,LK,SD,SR,SJ,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UY,UM,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW"
"Grand Cayman and US","2025-12-21T21:10:58.5150428Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,CV,KH,CM,CA,CF,TD,CL,CN,CX,CC,CO,KM,CK,CR,CI,HR,CU,CW,CY,CZ,CD,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KR,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,KP,MK,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,CG,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,SS,ES,LK,SD,SR,SJ,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UY,UM,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW"
"Jeff Lenderman Travel BVI 3/13-3/19","2026-03-13T15:02:54.3168082Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,CV,KH,CM,CA,KY,CF,TD,CL,CN,CX,CC,CO,KM,CK,CR,CI,HR,CU,CW,CY,CZ,CD,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KR,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,KP,MK,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,CG,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,SS,ES,LK,SD,SR,SJ,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UY,UM,UZ,VU,VE,VN,VI,WF,EH,YE,ZM,ZW"
"Montreal 3/15 - 3/21","2026-03-12T12:48:38.0836627Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,CV,KH,CM,KY,CF,TD,CL,CN,CX,CC,CO,KM,CK,CR,CI,HR,CU,CW,CY,CZ,CD,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KR,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,KP,MK,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,CG,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,SS,ES,LK,SD,SR,SJ,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UY,UM,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW"
"Out of Country Travel US / Cayman Islands","2024-10-14T17:28:23.0137061Z","N/A","AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,CV,KH,CM,CA,KY,CF,TD,CL,CN,CX,CC,CO,KM,CK,CR,CI,HR,CU,CW,CY,CZ,CD,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,SZ,ET,FK,FO,FJ,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KR,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,KP,MK,MP,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,CG,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,SS,ES,LK,SD,SR,SJ,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,UY,UM,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW"
"Pineywoods","","True","172.109.138.50/32"
