"UserLicense","ConsumedLicenses","MaxLicenses","UnusedLicenses","PercentageUsed"
"ATP_ENTERPRISE","6","6","0","100"
"Azure Active Directory Premium P2","21","21","0","100"
"Exchange Online Archiving","6","6","0","100"
"M365 Business Basic","1","1","0","100"
"Microsoft Fabric (Free)","2","1000000","999998","0"
"Microsoft Power Automate Free","14","10000","9986","0"
"O365 E1","0","0","0","0"
"Office_365_E1_(no_Teams)","6","6","0","100"
"Office_365_E3_(no_Teams)","14","14","0","100"
"Teams Enterprise","20","20","0","100"
