"SkuId","SkuPartNumber","ConsumedUnits","PrepaidUnitsEnabled"
"46c3a859-c90d-40b3-9551-6178a48d5c18","Office_365_E3_(no_Teams)","14","14"
"f30db892-07e9-47e9-837c-80727f46fd3d","FLOW_FREE","14","10000"
"84a661c4-e949-4bd2-a560-ed7766fcaf2b","AAD_PREMIUM_P2","21","21"
"a403ebcc-fae0-4ca2-8c8c-7a907fd6c235","POWER_BI_STANDARD","2","1000000"
"7e31c0d9-9551-471d-836f-32ee72be4a01","Microsoft_Teams_Enterprise_New","20","20"
"3b555118-da6a-4418-894f-7df1e2096870","O365_BUSINESS_ESSENTIALS","1","1"
"ee02fd1b-340e-4a4b-b355-4a514e4c8943","EXCHANGEARCHIVE_ADDON","6","6"
"f8ced641-8e17-4dc5-b014-f5a2d53f6ac8","Office_365_E1_(no_Teams)","6","6"
"4ef96642-f096-40de-a3e9-d83fb2f90211","ATP_ENTERPRISE","6","6"
"18181a46-0d4e-45cd-891e-60aabd171b4e","STANDARDPACK","0","0"
