"DisplayName","TemplateId","State","IncludeUsers","ExcludeUsers","IncludeGroups","ExcludeGroups","IncludeRoles","ExcludeRoles"
"Location Based Access - Block Outside US",,"enabled","All","3ed9b887-6459-42e3-9463-39aa0a8a6d5c,a20c898f-4531-461c-98eb-fc077dbe36fa,c07b595e-9d8a-46d2-9fa5-ebad3502e817","","","",""
"KaztCap SSL VPN Access",,"enabled","18b987bf-cb6f-4a88-9f1a-57431d53e11d","","9373ce06-bdc4-4615-98d6-905f7e163531","","",""
"Enable MFA - bwadmin",,"enabled","","","","","62e90394-69f5-4237-9190-012177145e10",""
"Enable MFA - All Users",,"enabled","All","3ed9b887-6459-42e3-9463-39aa0a8a6d5c,127f2a1a-2e91-4ae7-8722-3ecf424aff74","","","",""
"Microsoft-managed: Multifactor authentication for admins accessing Microsoft Admin Portals","4200930c-0da2-4e33-ca01-000000000000","enabledForReportingButNotEnforced","","","","","62e90394-69f5-4237-9190-012177145e10,194ae4cb-b126-40b2-bd5b-6091b380977d,f28a1f50-f6e7-4571-818b-6a12f2af6b6c,29232cdf-9323-42fd-ade2-1d097af3e4de,b1be1c3e-b65d-4f19-8427-f6fa0d97feb9,729827e3-9c14-49f7-bb1b-9608f156bbb8,b0f54661-2d74-4c50-afa3-1ec803f12efe,fe930be7-5e62-47db-91af-98c3a49a38b1,c4e39bd9-1100-46d3-8c65-fb160da0071f,9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3,158c047a-c907-4556-b7ef-446551a6b5f7,966707d0-3269-4727-9be2-8c3a10f19b9d,7be44c8a-adaf-4e2a-84d6-ab2649e08a13,e8611ab8-c189-46e8-94e1-60213ab1f814",""
"Microsoft-managed: Multifactor authentication for per-user multifactor authentication users","4200930c-0da2-4e33-ca01-000000000001","disabled","62608344-c510-4585-a9c7-a37874259a7e","","","","",""
"Location Based Access - Allow Specific Countries",,"disabled","None","","","","",""
"Microsoft-managed: Multifactor authentication and reauthentication for risky sign-ins","4200930c-0da2-4e33-ca01-000000000007","enabled","","","cb2c3867-b8b9-41e1-94c1-14a83fe34e29","","",""
"Brian Katz Travel Cayman - 12/21-12/28",,"disabled","18b987bf-cb6f-4a88-9f1a-57431d53e11d","","","","",""
"Brian Katz Montreal 3/15 - 3/21",,"enabledForReportingButNotEnforced","18b987bf-cb6f-4a88-9f1a-57431d53e11d","","","","",""
"Jeff Lenderman Travel BVI 3/13-3/19",,"disabled","dc46dae3-88ae-4508-9f43-da3f78acdd5a","","","","",""
"Brian Katz - Costa Rica",,"disabled","18b987bf-cb6f-4a88-9f1a-57431d53e11d","","","","",""
"Devices - Enforce Device Compliance",,"enabledForReportingButNotEnforced","All","","","d5bb9e19-d56c-4c35-84f1-801c46baf6b9","",""
"Locations - Enforce Geo-IP Fencing",,"enabledForReportingButNotEnforced","All","","","d2c79084-d0b5-4996-9703-4c26b086a422","",""
"Protocols - Enforce Modern Authentication",,"enabledForReportingButNotEnforced","All","","","8906db38-9137-4aaf-b4ee-b4541a24e76a","",""
"Sessions - Block Persistent Browser Sessions (Admins)",,"enabledForReportingButNotEnforced","","","","","9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3,c4e39bd9-1100-46d3-8c65-fb160da0071f,e3973bdf-4987-49ae-837a-ba8e231c7286,29232cdf-9323-42fd-ade2-1d097af3e4de,62e90394-69f5-4237-9190-012177145e10,fdd7a751-b60b-444a-984c-02652fe8fa1c,729827e3-9c14-49f7-bb1b-9608f156bbb8,8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2,4d6ac14f-3453-41d0-bef9-a3e0c569773a,d37c8bed-0711-4417-ba38-b4abe66ce4c2,2b745bdf-0803-4d80-aa65-822c4493daac,966707d0-3269-4727-9be2-8c3a10f19b9d,194ae4cb-b126-40b2-bd5b-6091b380977d,f28a1f50-f6e7-4571-818b-6a12f2af6b6c,69091246-20e8-4a56-aa4d-066075b2a7a8,baf37b3a-610e-45da-9e62-d9d1e5e8914b,3d762c5a-1b6c-493f-843e-55a3b42923d4,fe930be7-5e62-47db-91af-98c3a49a38b1",""
"Sessions - Block Persistent Browser Sessions (Untrusted Locations)",,"enabledForReportingButNotEnforced","All","","","","",""
"Sessions - Enforce Sign-In Frequency",,"enabledForReportingButNotEnforced","All","","","","",""
"Users - Block Interactive Logins (Service Accounts)",,"enabledForReportingButNotEnforced","","","0fc54385-48bb-4f91-924e-9d7e88a1828a","","",""
"Users - Restrict Admin Portal Access",,"enabledForReportingButNotEnforced","All","","","","","9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3,c4e39bd9-1100-46d3-8c65-fb160da0071f,e3973bdf-4987-49ae-837a-ba8e231c7286,29232cdf-9323-42fd-ade2-1d097af3e4de,62e90394-69f5-4237-9190-012177145e10,fdd7a751-b60b-444a-984c-02652fe8fa1c,729827e3-9c14-49f7-bb1b-9608f156bbb8,8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2,4d6ac14f-3453-41d0-bef9-a3e0c569773a,d37c8bed-0711-4417-ba38-b4abe66ce4c2,2b745bdf-0803-4d80-aa65-822c4493daac,966707d0-3269-4727-9be2-8c3a10f19b9d,194ae4cb-b126-40b2-bd5b-6091b380977d,f28a1f50-f6e7-4571-818b-6a12f2af6b6c,69091246-20e8-4a56-aa4d-066075b2a7a8,baf37b3a-610e-45da-9e62-d9d1e5e8914b,3d762c5a-1b6c-493f-843e-55a3b42923d4,fe930be7-5e62-47db-91af-98c3a49a38b1"
