"Date","PolicyId","Name","SrcIntf","DstIntf","Action","Status"
"2026-08-20","20","Root_Pineywoods Capital","ROOT_VLAN","VLAN2300","accept","enable"
"2026-08-20","21","Root_OIG","ROOT_VLAN","VLAN1801","accept","enable"
"2026-08-20","22","Root_Pineywoods Insurance","ROOT_VLAN","VLAN1800","accept","enable"
"2026-08-20","23","Root_Pineywoods Mortgage","ROOT_VLAN","VLAN2100","accept","enable"
"2026-08-20","24","Root_Pineywoods Benefits","ROOT_VLAN","VLAN1702","accept","enable"
"2026-08-20","25","Root_Dynamix","ROOT_VLAN","VLAN2500","accept","enable"
"2026-08-20","27","Root_Pineywoods Title","ROOT_VLAN","VLAN1900","accept","enable"
"2026-08-20","29","Pineywoods Title_Security Cameras","VLAN1900","ROOT_VLAN","accept","enable"
"2026-08-20","30","Root_Prescot Financial","ROOT_VLAN","VLAN2200","accept","enable"
"2026-08-20","31","NVR","virtual-wan-link","ROOT_VLAN","accept","enable"
"2026-08-20","32","Root_Pineywoods Realty","ROOT_VLAN","VLAN2000","accept","enable"
"2026-08-20","34","OIG Remote_OIG","ssl.root","VLAN1801","accept","enable"
"2026-08-20","35","Root_Management","ROOT_VLAN","lan","accept","enable"
"2026-08-20","37","VPN_Network","ssl.root","ROOT_VLAN","accept","enable"
"2026-08-20","39","sslvpn-KatzCap_Internet","ssl.root","virtual-wan-link","accept","enable"
"2026-08-20","40","vpn_Dynamix_local_0","VLAN2500","Dynamix","accept","enable"
"2026-08-20","41","vpn_Dynamix_remote_0","Dynamix","VLAN2500","accept","enable"
"2026-08-20","43","Root_ KatzCap","ROOT_VLAN","VLAN1701","accept","enable"
"2026-08-20","44","ManagementLAN_Root","lan","ROOT_VLAN","accept","enable"
"2026-08-20","45","SSLVPN_Management","ssl.root","lan","accept","enable"
"2026-08-20","46","Epson to KatzCap","VLAN2300","VLAN1701","accept","enable"
"2026-08-20","49","VLAN2000 to Epson Printer","VLAN2300","VLAN2000","accept","enable"
"2026-08-20","54","Guest_Internet","Guest","virtual-wan-link","accept","enable"
"2026-08-20","56","Pineywoods-Benefits_Internet","VLAN1702","virtual-wan-link","accept","enable"
"2026-08-20","57","OIG-Insurance_Internet","VLAN1801","virtual-wan-link","accept","enable"
"2026-08-20","58","Dynamix_Internet","VLAN2500","virtual-wan-link","accept","enable"
"2026-08-20","59","Pineywoods-Insurance_Internet","VLAN1800","virtual-wan-link","accept","enable"
"2026-08-20","64","Prescot-Financial_Internet","VLAN2200","virtual-wan-link","accept","enable"
"2026-08-20","65","OIG-Remote_Internet","ssl.root","virtual-wan-link","accept","enable"
