"PolicyID","Name","SrcIntf","DstIntf","Action","Status","HitCount","Bytes","Packets","ActiveSessions"
"0",,"","",,,"68966950","4405141237","68000843","0"
"2","SSLVPN > LAN","ssl.root","port12","accept","enable","1673074","518542210443","667557338","0"
"3","Cameras > WAN","lan.15","WAN","accept","enable",,"0","0","0"
"4","Cameras > Judge","lan.15","port12","accept","enable",,"0","0","0"
"5","LAN > Security LAN","port12","lan.15","accept","enable","4492850","7257651674","42804651","38"
"6","WLAN > WAN","lan.300","WAN","accept","enable","40412644","8617568043078","8045726079","762"
"7","Auvik > Security LAN","port12","lan.15","accept","enable","156871053","58157552789","432011351","290"
"8","SSL VPN > WAN","ssl.root","WAN","accept","disable","0","0","0","0"
"9","POPDOCK","WAN","port12","accept","enable","124","14700","303","0"
"10","LAN > WAN","port12","WAN","accept","enable","470233554","66408877215122","71963842659","2676"
