"Date","CustomerName","Plan","BillableDomains"
"2026-08-06","Air Quality Systems","Plus Monthly","2"
"2026-08-06","Atlanta Bonded Warehouse","Plus Monthly","2"
"2026-08-06","Boxercraft","Plus Monthly","1"
"2026-08-06","Consumer Collection Management","Plus Monthly","1"
"2026-08-06","Diverzify","Plus Monthly","26"
"2026-08-06","Elite Administration","Plus Monthly","1"
"2026-08-06","General Wholesale Company","Plus Monthly","4"
"2026-08-06","German American Chamber of Commerce","Plus Monthly","1"
"2026-08-06","HEFCO, LLC","Plus Monthly","1"
"2026-08-06","Personal Care Physicians of Atlanta","Plus Monthly","1"
"2026-08-06","Thomas & Brown","Plus Monthly","2"
