"Date","AccountName","Hostname","IPv4Address","OperatingSystem","Connectivity","LastConnectedAt"
"2026-08-10","Coleto Brands","ATL1DWAA4NL","10.0.13.232","Microsoft Windows 11 Enterprise 64-bit 2009 26200","isolated","2026-03-25T14:21:36.262Z"
"2026-08-10","Coleto Brands","CLV1HD03","10.1.3.49","Microsoft Windows Server 2016 Server Datacenter (full installation) 64-bit 1607 14393","isolated","2026-02-21T13:24:18.338Z"
"2026-08-10","Coleto Brands","CLV1VDIWIN10","10.1.3.249","Microsoft Windows 11 Enterprise 64-bit 2009 26100","isolated","2026-02-21T13:29:58.477Z"
"2026-08-10","Coleto Brands","CLV1WPSQL05","10.1.3.162","Microsoft Windows Server 2019 Server Datacenter (full installation) 64-bit 1809 17763","isolated","2026-02-21T13:29:07.619Z"
"2026-08-10","Coleto Brands","CLV1WUADMJUMP02","10.1.3.233","Microsoft Windows Server 2022 Server Datacenter (full installation) 64-bit 2009 20348","isolated","2026-02-21T13:32:23.242Z"
"2026-08-10","Coleto Brands","CLV1WUVEMONE01","10.1.3.99","Microsoft Windows Server 2019 Server Datacenter (full installation) 64-bit 1809 17763","isolated","2026-02-21T13:31:38.329Z"
"2026-08-10","Coleto Brands","LAS1DWMJ0L1GR7","172.18.144.1","Microsoft Windows 11 Enterprise 64-bit 2009 26200","isolated","2026-02-27T19:02:52.467Z"
"2026-08-10","Grey Eagle","FOURNIEDELL","10.25.0.33","Microsoft Windows 11 Pro 64-bit 2009 26200","isolated","2026-07-30T10:01:23.316Z"
"2026-08-10","Grey Eagle","MANERW10","10.25.1.233","Microsoft Windows 11 Pro 64-bit 2009 26200","isolated","2026-07-30T10:23:18.131Z"
"2026-08-10","GWC","GWC-DT-0281","10.40.8.125","Microsoft Windows 10 Pro 64-bit 2009 19045","isolated","2026-08-04T15:21:07.884Z"
"2026-08-10","ServIT Kennesaw","CIS--VM2022","10.0.8.54","Microsoft Windows Server 2022 Server Standard 64-bit 2009 20348","isolated","2026-02-19T09:12:56.301Z"
