"Customer","Open Incidents","Oldest (Days)"
"Brosnahan Lawfirm","6","76"
"Ameriserve","3","76"
"MRP","2","48.5"
"Soteria Flexibles","2","47.3"
"J&A Engineering","1","47.2"
"Consumer Collection Management","3","47.2"
"Division 9 Construction","2","47.2"
"Worley, Schilling, & Randall","1","46.5"
"SECO","3","46.5"
"Gulf Stream","3","42.5"
"ViscoTec America","1","40.5"
"Habitat for Humanity","3","40.5"
"General Wholesale Company","1","34.5"
"Coleto Brands","3","28.1"
"ServIT, Inc.","2","24.5"
"HEFCO","1","6.2"
"Onsite Technical Services LLC","1","1.5"
"Control by Web","1","1.3"
"Total","39",""
