"Escalation ID","Customer","Severity","Type","Subtype","Subject","Status","Created","Days Waiting"
"676601","Control by Web","high","Microsoft 365 Login","SURFSHARK_VPN","Unexpected VPN - Surfshark VPN","sent","2026-05-20 16:53:25","82.8"
"676334","Brindlee Fire Services","high","Microsoft 365 Login","NORD_VPN","Unexpected VPN - Nord VPN","sent","2026-05-20 15:39:24","82.8"
"678485","Brindlee Fire Services","high","Microsoft 365 Login","SUPERUNLIMITED_VPN","Unexpected VPN - Superunlimited VPN","sent","2026-05-21 09:46:41","82.1"
"678466","Brindlee Fire Services","high","Microsoft 365 Login","PROTON_VPN","Unexpected VPN - Proton VPN","sent","2026-05-21 09:38:24","82.1"
"687971","Brindlee Fire Services","high","Microsoft 365 Login","SURF_EASY_VPN","Unexpected VPN - Surf Easy VPN","sent","2026-05-26 15:53:16","76.8"
"752277","J&A Engineering","high","Microsoft 365 Login","EXPRESS_VPN","Unexpected VPN - Express VPN","sent","2026-06-25 09:53:58","47"
"775661","Coleto Brands","high","Microsoft 365 Login","ASTRILL_VPN","Unexpected VPN - Astrill VPN","sent","2026-07-07 13:09:53","34.9"
"775778","Coleto Brands","high","Microsoft 365 Login","IN","Unexpected Country - India","sent","2026-07-07 14:16:48","34.9"
"775816","Coleto Brands","high","Microsoft 365 Login","CN","Unexpected Country - China","sent","2026-07-07 14:38:28","34.9"
"776626","Coleto Brands","high","Microsoft 365 Login","HK","Unexpected Country - Hong Kong","sent","2026-07-07 20:19:43","34.6"
"778233","Coleto Brands","high","Microsoft 365 Login","VN","Unexpected Country - Vietnam","sent","2026-07-08 06:19:48","34.2"
"778819","Coleto Brands","high","Microsoft 365 Login","PROVPN_WORLD_VPN","Unexpected VPN - Provpn World VPN","sent","2026-07-08 09:26:05","34.1"
"813236","Coleto Brands","high","Microsoft 365 Login","SA","Unexpected Country - Saudi Arabia","sent","2026-07-27 08:27:05","15.1"
"842424","Galt Pharmaceuticals","high","Microsoft 365 Login","FIREFOX_BROWSER_VPN","Unexpected VPN - Firefox Browser VPN","sent","2026-08-10 18:03:45","0.7"
"842662","Galt Pharmaceuticals","high","Microsoft 365 Login","PROTON_VPN","Unexpected VPN - Proton VPN","sent","2026-08-10 21:08:12","0.6"
