"Customer","Open Incidents","Oldest (Days)"
"Brosnahan Lawfirm","7","82.7"
"Ameriserve","3","82.7"
"MRP","2","55.2"
"Soteria Flexibles","2","54"
"J&A Engineering","1","53.9"
"Consumer Collection Management","3","53.9"
"Division 9 Construction","3","53.9"
"Worley, Schilling, & Randall","1","53.2"
"SECO","3","53.2"
"Gulf Stream","5","49.2"
"ViscoTec America","2","47.2"
"Habitat for Humanity","3","47.2"
"General Wholesale Company","1","41.2"
"Coleto Brands","3","34.9"
"ServIT, Inc.","2","31.2"
"HEFCO","1","13"
"Onsite Technical Services LLC","1","8.2"
"Control by Web","1","8"
"Total","44",""
